Organization;Acronym;Type;Link;Location;Specialization
University of Stuttgart - Institute for Functional Matter and Quantum Technologies;;university;https://www.fmq.uni-stuttgart.de/barz-group/;Germany;
Amsterdam University of Applied Sciences/Centrum Wiskunde & Informatica - Applied Quantum Computing;;university;https://www.amsterdamuas.com/content/news/news/2020/05/new-research-group-applied-quantum-computing.html;Netherlands;
Delft University of Technology and TNO - QuTech;;university;http://qutech.nl/;Netherlands;
Eindhoven University of Technology - Center for Quantum Materials and Technology;TU/e;university;https://www.tue.nl/en/research/research-groups/center-for-quantum-materials-and-technology-eindhoven/#top;Netherlands;
Leiden University - Applied Quantum Algorithms;AQA;university;https://www.aqa.universiteitleiden.nl/;Netherlands;
University of Amsterdam - Quantum Matter & Quantum Information;;university;http://www.uva.nl/en/shared-content/zwaartepunten/en/quantum-matter--quantum-information/quantum-matter--quantum-information.html;Netherlands;
University of Twente - Interfaces and Correlated Electrons / Quantum Transport in Matter;ICE-QTM;university;https://www.utwente.nl/en/tnw/ice/;Netherlands;
Ben-Gurion University of the Negev - Center for Quantum Science & Technology;BGU-QST;university;https://in.bgu.ac.il/en/QI/Pages/default.aspx;Israel;
Hebrew University of Jerusalem - Quantum Information Science Center;;university;http://qcent.huji.ac.il/;Israel;
Technion - Center for Quantum Science, Matter and Engineering;;university;https://www.technion.ac.il/en/2018/04/50-million-gift-names-the-helen-diller-center-for-quantum-science-matter-and-engineering/;Israel;
Weizmann Institute;;university;https://www.weizmann.ac.il/complex/ozeri/research-activities;Israel;
Beijing Academy of Quantum Information Sciences;BAQIS;university;https://en.baqis.ac.cn/;China;
Tsinghua University - Tsinghua Center for Quantum Information;;university;https://cqi.tsinghua.edu.cn/en/list-435-1.html;China;
University of Science and Technology of China - Division of Quantum Physics and Quantum Information;USTC;university;https://quantum.ustc.edu.cn/web/en;China;
Zhejiang University;;university;https://www.zju.edu.cn/english/main.htm;China;
Quantum Optics Lab - Xiamen University;;university;https://qolab.xmu.edu.cn/;China;
University of Barcelona/Barcelona Supercomputing Center - QUANTIC;;university;http://quantic.bsc.es/;Spain;
University of Castilla La Mancha - Alarcos Research Group;UCLM;university;https://alarcos.esi.uclm.es/lineasinvestigacionENG.php;Spain;
Universidad Complutense de Madrid - Quantum Computation and Information Group;;university;http://gicc.fis.ucm.es/;Spain;
